         2044106 function calls (2044077 primitive calls) in 1.430 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
        4    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        8    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
      108    0.000    0.000    0.000    0.000 {method 'getresult' of '_overlapped.Overlapped' objects}
      100    0.000    0.000    0.000    0.000 locks.py:13(__aenter__)
      274    0.000    0.000    0.000    0.000 feedparser.py:127(__next__)
        2    0.000    0.000    0.000    0.000 base_events.py:1457(_ensure_resolved)
      157    0.000    0.000    0.000    0.000 events.py:72(cancel)
        2    0.000    0.000    0.000    0.000 base_events.py:898(getaddrinfo)
        1    0.000    0.000    0.000    0.000 feedparser.py:469(_parse_headers)
        1    0.000    0.000    0.000    0.000 {built-in method nt.listdir}
        1    0.000    0.000    0.000    0.000 thread.py:1(<module>)
      535    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
      315    0.000    0.000    0.000    0.000 {built-in method _asyncio.get_running_loop}
       61    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      100    0.000    0.000    0.000    0.000 locks.py:124(release)
      161    0.000    0.000    0.000    0.000 {built-in method _contextvars.copy_context}
       53    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:416(__enter__)
       57    0.000    0.000    0.000    0.000 base_events.py:446(create_future)
      274    0.000    0.000    0.000    0.000 feedparser.py:77(readline)
        1    0.000    0.000    0.000    0.000 base_events.py:853(run_in_executor)
      164    0.000    0.000    0.000    0.000 {built-in method math.ceil}
       50    0.000    0.000    0.000    0.000 event.py:323(listen)
      106    0.000    0.000    0.000    0.000 {built-in method _heapq.heappop}
        2    0.000    0.000    0.000    0.000 base_events.py:1171(_create_connection_transport)
        1    0.000    0.000    0.000    0.000 __init__.py:685(zip_children)
     17/1    0.000    0.000    0.000    0.000 copy.py:118(deepcopy)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
      220    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:272(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      157    0.000    0.000    0.000    0.000 timeouts.py:33(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:145(make)
      490    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 __init__.py:87(__init__)
       53    0.000    0.000    0.000    0.000 {method 'find' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 proactor_events.py:645(_make_socket_transport)
      157    0.000    0.000    0.000    0.000 {built-in method _asyncio.current_task}
      160    0.000    0.000    0.000    0.000 events.py:127(__lt__)
        1    0.000    0.000    0.000    0.000 proactor_events.py:611(__init__)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       53    0.000    0.000    0.000    0.000 {method 'extend' of 'bytearray' objects}
